"iso2c";"income"
"dz";"Upper middle income"
"ao";"Lower middle income"
"ar";"Upper middle income"
"au";"High income"
"bd";"Lower middle income"
"by";"Upper middle income"
"bo";"Lower middle income"
"br";"Upper middle income"
"bg";"Upper middle income"
"bi";"Low income"
"kh";"Lower middle income"
"ca";"High income"
"cn";"Upper middle income"
"co";"Upper middle income"
"cr";"Upper middle income"
"cu";"Upper middle income"
"cy";"High income"
"do";"Upper middle income"
"ec";"Upper middle income"
"ee";"High income"
"et";"Low income"
"fj";"Upper middle income"
"fi";"High income"
"fr";"High income"
"pf";"High income"
"ge";"Upper middle income"
"hn";"Lower middle income"
"is";"High income"
"in";"Lower middle income"
"ie";"High income"
"il";"High income"
"jp";"High income"
"jo";"Upper middle income"
"kr";"High income"
"kw";"High income"
"ly";"Upper middle income"
"lt";"High income"
"mg";"Low income"
"my";"Upper middle income"
"mv";"Upper middle income"
"mt";"High income"
"mu";"Upper middle income"
"mx";"Upper middle income"
"ma";"Lower middle income"
"np";"Low income"
"nl";"High income"
"nc";"High income"
"nz";"High income"
"ni";"Lower middle income"
"ne";"Low income"
"no";"High income"
"pa";"High income"
"pg";"Lower middle income"
"py";"Upper middle income"
"pe";"Upper middle income"
"ph";"Lower middle income"
"pr";"High income"
"ro";"Upper middle income"
"ru";"Upper middle income"
"sc";"High income"
"sg";"High income"
"es";"High income"
"lk";"Upper middle income"
"sd";"Lower middle income"
"se";"High income"
"ch";"High income"
"sy";"Low income"
"tw";"High income"
"tz";"Low income"
"th";"Upper middle income"
"tt";"High income"
"tn";"Lower middle income"
"tr";"Upper middle income"
"tm";"Upper middle income"
"ua";"Lower middle income"
"us";"High income"
"vu";"Lower middle income"
"ve";"Upper middle income"
"zw";"Lower middle income"
"be";"High income"
"dk";"High income"
"it";"High income"
"kz";"Upper middle income"
"de";"High income"
"sl";"Low income"
"ug";"Low income"
"uy";"High income"
"cd";"Low income"
"ga";"Upper middle income"
"hk";"High income"
"pw";"High income"
"tv";"Upper middle income"
"ws";"Upper middle income"
"tj";"Low income"
"am";"Upper middle income"
"at";"High income"
"cl";"High income"
"id";"Lower middle income"
"si";"High income"
"al";"Upper middle income"
"bm";"High income"
"cf";"Low income"
"om";"High income"
"sa";"High income"
"cz";"High income"
"az";"Upper middle income"
"sz";"Lower middle income"
"gm";"Low income"
"hu";"High income"
"mo";"High income"
"pl";"High income"
"sk";"High income"
"hr";"High income"
"gr";"High income"
"gt";"Upper middle income"
"lv";"High income"
"md";"Lower middle income"
"sv";"Lower middle income"
"la";"Lower middle income"
"gb";"High income"
"cg";"Lower middle income"
"bh";"High income"
"ae";"High income"
