id;date;impressions;reach;engagements;link_clicks;category;channel;type;paid;ad
1;16-01-2019;1015574;518593;1663;1440;Account 1;FB;Carousel;Paid;400
2;25-01-2019;437118;257077;52700;20;Account 1;FB;Photo;Paid;400
3;30-01-2019;959231;589604;8309;78;Account 1;FB;Video;Paid;400
4;30-01-2019;414714;254330;39677;51;Account 1;FB;Photo;Paid;400
5;01-02-2019;445066;254816;49034;37;Account 1;FB;Photo;Paid;400
6;12-02-2019;561948;387017;36816;0;Account 1;FB;Photo;Paid;400
7;22-02-2019;213908;113904;33763;20;Account 1;FB;Photo;Paid;400
8;25-02-2019;522307;302474;40119;95;Account 1;FB;Photo;Paid;400
9;26-02-2019;266247;137116;38601;220;Account 1;FB;Photo;Paid;400
10;18-03-2019;299190;191361;34455;15;Account 1;FB;Photo;Paid;400
11;21-03-2019;342994;216319;34547;40;Account 1;FB;Photo;Paid;400
12;22-03-2019;331063;205045;38288;53;Account 1;FB;Photo;Paid;400
13;23-03-2019;646221;210550;1639;1450;Account 1;FB;Carousel;Paid;400
14;29-03-2019;173009;89988;38534;0;Account 1;FB;Photo;Paid;400
15;12-04-2019;440043;117468;1088;1118;Account 1;FB;Carousel;Paid;400
16;18-04-2019;155567;75434;40848;37;Account 1;FB;Photo;Paid;400
17;17-05-2019;198119;105318;33697;152;Account 1;FB;Photo;Paid;400
18;22-05-2019;845252;529702;1194;2668;Account 1;FB;Carousel;Paid;400
19;03-06-2019;866387;386427;478;2178;Account 1;FB;Carousel;Paid;400
20;26-06-2019;344095;180862;67482;78;Account 1;FB;Photo;Paid;400
21;09-07-2019;251849;134391;57090;73;Account 1;FB;Photo;Paid;400
22;19-07-2019;562452;208869;535;1862;Account 1;FB;Carousel;Paid;400
23;16-08-2019;920941;465011;1544;4717;Account 1;FB;Carousel;Paid;400
24;16-08-2019;305383;136055;52263;29;Account 1;FB;Photo;Paid;400
25;21-08-2019;173717;103171;56522;55;Account 1;FB;Photo;Paid;400
26;18-09-2019;579311;265791;495;2336;Account 1;FB;Carousel;Paid;400
27;24-09-2019;159916;88998;32079;50;Account 1;FB;Photo;Paid;400
28;26-09-2019;193510;75142;25362;33;Account 1;FB;Photo;Paid;400
29;14-10-2019;243329;98019;27781;55;Account 1;FB;Photo;Paid;400
30;28-10-2019;582418;234320;483;2489;Account 1;FB;Carousel;Paid;400
31;29-10-2019;213011;126314;50109;86;Account 1;FB;Photo;Paid;400
32;18-11-2019;2746;2637;20;15;Account 1;FB;Photo;Organic;NA
33;18-11-2019;2746;2637;20;15;Account 1;FB;Photo;Organic;NA
34;21-11-2019;4833;4724;21;73;Account 1;FB;Carousel;Organic;NA
35;22-11-2019;5646;5515;38;20;Account 1;FB;Photo;Organic;NA
36;22-11-2019;5646;5515;38;20;Account 1;FB;Photo;Organic;NA
37;17-12-2019;6636;6564;49;51;Account 1;FB;Photo;Organic;NA
38;20-12-2019;3449;3279;23;71;Account 1;FB;Carousel;Organic;NA
39;27-03-2020;5998;5362;36;8;Account 1;FB;Photo;Organic;NA
40;22-04-2020;10107;9513;74;27;Account 1;FB;Photo;Organic;NA
41;11-05-2020;10294;9428;45;229;Account 1;FB;Carousel;Organic;NA
42;11-05-2020;15650;14272;60;470;Account 1;FB;Carousel;Organic;NA
43;20-05-2020;12640;11815;64;31;Account 1;FB;Photo;Organic;NA
44;18-06-2020;10008;9511;76;23;Account 1;FB;Photo;Organic;NA
45;19-06-2020;9551;8965;90;60;Account 1;FB;Photo;Organic;NA
46;26-07-2020;13203;8329;119;15;Account 1;FB;Video;Organic;NA
47;07-08-2020;12533;11872;84;0;Account 1;FB;Photo;Organic;NA
48;13-08-2020;10852;10642;56;13;Account 1;FB;Photo;Organic;NA
49;21-08-2020;14243;13708;177;100;Account 1;FB;Photo;Organic;NA
50;05-01-2019;574748;158463;922;1242;Account 2;FB;Carousel;Paid;400
51;21-01-2019;761413;372433;768;1513;Account 2;FB;Carousel;Paid;400
52;18-02-2019;873095;565136;61683;281;Account 2;FB;Photo;Paid;400
53;25-02-2019;401451;146801;825;973;Account 2;FB;Carousel;Paid;400
54;13-03-2019;407235;141741;660;1129;Account 2;FB;Carousel;Paid;400
55;26-03-2019;346661;227118;36569;58;Account 2;FB;Photo;Paid;400
56;18-04-2019;310845;150851;44656;60;Account 2;FB;Photo;Paid;400
57;19-04-2019;549346;188085;586;1062;Account 2;FB;Carousel;Paid;400
58;11-05-2019;710628;331675;804;1304;Account 2;FB;Carousel;Paid;400
59;17-05-2019;202586;107440;35674;0;Account 2;FB;Photo;Paid;400
60;21-06-2019;1107296;519924;1273;2334;Account 2;FB;Carousel;Paid;400
61;26-06-2019;166276;79793;36907;58;Account 2;FB;Photo;Paid;400
62;17-07-2019;998895;479263;1013;4308;Account 2;FB;Carousel;Paid;400
63;24-07-2019;288665;138347;47289;82;Account 2;FB;Photo;Paid;400
64;09-08-2019;866829;396843;912;2664;Account 2;FB;Carousel;Paid;400
65;27-08-2019;324218;150373;51737;119;Account 2;FB;Photo;Paid;400
66;29-09-2019;639635;296166;836;2252;Account 2;FB;Carousel;Paid;400
67;28-10-2019;784935;459289;628;3060;Account 2;FB;Carousel;Paid;400
68;31-10-2019;240609;108813;35158;59;Account 2;FB;Photo;Paid;400
69;26-11-2019;5952;5821;23;104;Account 2;FB;Carousel;Organic;NA
70;28-11-2019;3134;3108;22;11;Account 2;FB;Photo;Organic;NA
71;18-12-2019;6366;6107;49;42;Account 2;FB;Photo;Organic;NA
72;23-12-2019;3043;2917;18;20;Account 2;FB;Photo;Organic;NA
73;28-01-2020;3035;2921;46;14;Account 2;FB;Photo;Organic;NA
74;23-03-2020;5749;5206;28;19;Account 2;FB;Photo;Organic;NA
75;18-04-2020;9337;8798;31;39;Account 2;FB;Photo;Organic;NA
76;16-05-2020;6121;5897;28;18;Account 2;FB;Photo;Organic;NA
77;16-05-2020;6486118;5276084;66831;894;Account 2;FB;Photo;Paid;NA
78;29-06-2020;6536;6271;46;25;Account 2;FB;Photo;Organic;NA
79;14-08-2020;10411;10178;68;54;Account 2;FB;Photo;Organic;NA
80;18-08-2020;10680;10158;54;144;Account 2;FB;Carousel;Organic;NA
81;31-01-2019;440142;235652;46900;39;Account 3;FB;Photo;Paid;400
82;21-02-2019;503923;153875;1452;1258;Account 3;FB;Carousel;Paid;400
83;21-03-2019;293669;78877;523;811;Account 3;FB;Carousel;Paid;400
84;25-04-2019;426442;149290;523;1099;Account 3;FB;Carousel;Paid;400
85;23-05-2019;768840;363057;981;1792;Account 3;FB;Carousel;Paid;400
86;17-06-2019;919165;379964;922;2963;Account 3;FB;Carousel;Paid;400
87;16-07-2019;643120;317365;5685;95;Account 3;FB;Video;Paid;400
88;23-08-2019;823508;350744;920;3058;Account 3;FB;Carousel;Paid;400
89;28-09-2019;730867;325407;519;2344;Account 3;FB;Carousel;Paid;400
90;30-10-2019;680889;291661;440;2121;Account 3;FB;Carousel;Paid;400
91;27-11-2019;6500;6240;26;46;Account 3;FB;Photo;Organic;NA
92;19-12-2019;5842;5558;34;39;Account 3;FB;Photo;Organic;NA
93;21-01-2020;6251;6167;29;24;Account 3;FB;Photo;Organic;NA
94;20-02-2020;6516;6591;43;30;Account 3;FB;Photo;Organic;NA
95;22-02-2020;4574;4704;40;15;Account 3;FB;Photo;Organic;NA
96;24-02-2020;7458;7496;71;28;Account 3;FB;Photo;Organic;NA
97;26-02-2020;5494;5529;50;13;Account 3;FB;Photo;Organic;NA
98;29-02-2020;4895;5163;37;9;Account 3;FB;Photo;Organic;NA
99;04-03-2020;6280;6155;36;19;Account 3;FB;Photo;Organic;NA
100;16-03-2020;5446;5288;33;562;Account 3;FB;Photo;Organic;NA
101;20-03-2020;5372;4775;17;48;Account 3;FB;Carousel;Organic;NA
102;31-03-2020;5164;4764;23;15;Account 3;FB;Photo;Organic;NA
103;23-04-2020;8808;8345;43;27;Account 3;FB;Photo;Organic;NA
104;06-05-2020;11871;10908;48;83;Account 3;FB;Photo;Organic;NA
105;12-06-2020;11008;10503;43;21;Account 3;FB;Photo;Organic;NA
106;30-07-2020;8990;8547;110;43;Account 3;FB;Photo;Organic;NA
107;15-08-2020;14059;13531;116;74;Account 3;FB;Photo;Organic;NA
108;17-04-2020;8182;7646;21;10;Account 4;FB;Photo;Organic;NA
109;13-05-2020;12467;11588;27;22;Account 4;FB;Photo;Organic;NA
110;16-06-2020;9952;9589;38;46;Account 4;FB;Carousel;Organic;NA
111;29-07-2020;8001;7621;80;15;Account 4;FB;Photo;Organic;NA
112;01-01-2019;1053511;567731;1575;1662;Account 5;FB;Carousel;Paid;400
113;07-01-2019;790654;332878;788;1481;Account 5;FB;Carousel;Paid;400
114;13-01-2019;951060;442844;1106;1543;Account 5;FB;Carousel;Paid;400
115;18-01-2019;230125;124523;40768;28;Account 5;FB;Photo;Paid;400
116;22-01-2019;331332;180337;51834;0;Account 5;FB;Photo;Paid;400
117;04-02-2019;283055;178891;50616;18;Account 5;FB;Photo;Paid;400
118;11-02-2019;653429;216282;952;1189;Account 5;FB;Carousel;Paid;400
119;14-02-2019;252386;142262;46715;16;Account 5;FB;Photo;Paid;400
120;25-02-2019;573323;248453;2368;1771;Account 5;FB;Carousel;Paid;400
121;25-02-2019;329081;112869;675;728;Account 5;FB;Carousel;Paid;400
122;08-03-2019;489665;385484;26;16;Account 5;FB;Video;Paid;400
123;21-03-2019;378100;102143;931;876;Account 5;FB;Carousel;Paid;400
124;28-03-2019;416123;234240;64866;21;Account 5;FB;Photo;Paid;400
125;29-03-2019;456551;124798;2172;1010;Account 5;FB;Carousel;Paid;400
126;31-03-2019;383328;115357;934;874;Account 5;FB;Carousel;Paid;400
127;05-04-2019;431339;128178;1323;1268;Account 5;FB;Carousel;Paid;400
128;16-04-2019;831028;338467;1370;1246;Account 5;FB;Carousel;Paid;400
129;20-04-2019;268523;145348;49392;24;Account 5;FB;Photo;Paid;400
130;24-04-2019;138858;78825;34251;13;Account 5;FB;Photo;Paid;400
131;30-04-2019;1033763;422167;1568;1887;Account 5;FB;Carousel;Paid;400
132;14-05-2019;185885;97826;42206;17;Account 5;FB;Photo;Paid;400
133;17-05-2019;724994;426972;846;1286;Account 5;FB;Carousel;Paid;400
134;23-05-2019;550773;349474;775;2115;Account 5;FB;Carousel;Paid;400
135;25-05-2019;349782;171104;61247;12;Account 5;FB;Photo;Paid;400
136;27-05-2019;1082809;536986;1210;1713;Account 5;FB;Carousel;Paid;400
137;15-06-2019;1113520;571147;1843;4239;Account 5;FB;Carousel;Paid;400
138;19-06-2019;281048;128795;50749;26;Account 5;FB;Photo;Paid;400
139;27-06-2019;188129;90499;41574;51;Account 5;FB;Photo;Paid;400
140;28-06-2019;1316887;569792;1175;2657;Account 5;FB;Carousel;Paid;400
141;30-06-2019;1500930;789225;4291;6055;Account 5;FB;Carousel;Paid;400
142;15-07-2019;1079036;484813;2768;4795;Account 5;FB;Carousel;Paid;400
143;19-07-2019;291763;139880;43565;27;Account 5;FB;Photo;Paid;400
144;20-07-2019;227548;111782;41524;52;Account 5;FB;Photo;Paid;400
145;21-07-2019;540140;232104;627;2157;Account 5;FB;Carousel;Paid;400
146;22-07-2019;324503;165989;47988;15;Account 5;FB;Photo;Paid;400
147;16-08-2019;491581;195255;594;2288;Account 5;FB;Carousel;Paid;400
148;22-08-2019;611255;317580;1205;2648;Account 5;FB;Carousel;Paid;400
149;27-08-2019;279808;136253;48020;14;Account 5;FB;Photo;Paid;400
150;28-08-2019;817652;304618;735;2645;Account 5;FB;Carousel;Paid;400
151;29-08-2019;311951;163333;50819;34;Account 5;FB;Photo;Paid;400
152;24-09-2019;679933;363573;641;2057;Account 5;FB;Carousel;Paid;400
153;25-09-2019;189585;89335;38488;18;Account 5;FB;Photo;Paid;400
154;26-09-2019;517768;247193;491;1753;Account 5;FB;Carousel;Paid;400
155;27-09-2019;313818;160327;49135;15;Account 5;FB;Photo;Paid;400
156;28-09-2019;832322;388838;930;2448;Account 5;FB;Carousel;Paid;400
