id;visits;buy_leads
1;446;16
2;0;0
3;0;0
4;0;0
5;0;0
6;147;17
7;0;0
8;75;11
9;130;4
10;0;0
11;0;0
12;0;0
13;450;22
14;0;0
15;262;6
16;5;3
17;0;0
18;0;0
19;614;23
20;35;6
21;30;2
22;437;17
23;1305;18
24;3;0
25;4;1
26;566;5
27;29;7
28;4;0
29;38;1
30;691;45
31;60;8
32;0;0
33;0;0
34;62;0
35;5;1
36;5;1
37;32;6
38;20;1
39;0;0
40;0;0
41;0;0
42;0;0
43;0;0
44;0;0
45;0;0
46;0;0
47;0;0
48;0;0
49;0;0
50;302;17
51;474;5
52;180;18
53;232;1
54;0;0
55;0;0
56;3;0
57;269;6
58;379;14
59;0;0
60;779;25
61;20;0
62;1847;72
63;0;0
64;478;4
65;0;0
66;0;0
67;771;16
68;28;1
69;0;0
70;0;0
71;17;5
72;0;0
73;0;0
74;0;0
75;0;0
76;0;0
77;0;0
78;0;0
79;0;0
80;0;0
81;0;0
82;315;8
83;182;5
84;0;0
85;616;39
86;1320;58
87;64;6
88;648;8
89;497;7
90;491;16
91;0;0
92;7;2
93;0;0
94;0;0
95;0;0
96;0;0
97;0;0
98;0;0
99;0;0
100;0;0
101;0;0
102;0;0
103;0;0
104;0;0
105;0;0
106;0;0
107;0;0
108;0;0
109;0;0
110;0;0
111;0;0
112;386;10
113;314;1
114;352;5
115;0;0
116;0;0
117;0;0
118;248;2
119;0;0
120;0;0
121;145;0
122;0;0
123;232;1
124;0;0
125;210;0
126;181;3
127;355;0
128;234;2
129;0;0
130;0;0
131;451;16
132;0;0
133;318;12
134;717;7
135;0;0
136;356;1
137;1961;58
138;0;0
139;18;0
140;480;3
141;1979;2
142;1319;10
143;14;4
144;13;5
145;352;2
146;8;1
147;355;11
148;496;7
149;0;0
150;499;12
151;2;0
152;355;0
153;0;0
154;352;2
155;0;0
156;487;5
157;0;0
158;0;0
159;0;0
160;0;0
161;0;0
162;0;0
163;0;0
164;0;0
165;0;0
166;0;0
167;0;0
168;0;0
169;0;0
170;0;0
171;0;0
172;0;0
173;0;0
174;0;0
